date,venueType,venueName,city,state,peopleKilled,peopleInjured,pistol,rifle,shotgun,unknownGun,explosive,knife,nonMetallicObject,googleMapsUrl
3/8/2014,1,University of Oshkosh,Oshkosh,WI,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/University+Of+Wisconsin+Oshkosh/@44.0249167,-88.5537743,15z/data=!3m1!4b1!4m2!3m1!1s0x8803ebe40a08408b:0xb8f8ec18c1c8b267"
3/9/2014,6,Downtown Motel,Hoopeston,IL,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Downtown+Motel/@40.467458,-87.670045,17z/data=!3m1!4b1!4m2!3m1!1s0x880d7ac2f3dee51b:0x2453130e928d1e7"
3/9/2014,6,Sheraton Suites Columbus,Columbus,OH,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Sheraton+Suites+Columbus/@40.113081,-83.009616,17z/data=!3m1!4b1!4m2!3m1!1s0x8838f346aeab15a9:0x91d22b603b905d0f"
3/18/2014,10,Kansas City Zoo,Kansas City,MO,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Kansas+City+Zoo/@39.006383,-94.528291,17z/data=!3m1!4b1!4m2!3m1!1s0x87c0e5ca1583a001:0xb44f49e90df6aefd"
3/20/2014,11,Anschutz Medical Center Campus,Aurora,CO,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Anschutz+Medical+Campus/@39.688835,-104.6868336,11z/data=!4m5!1m2!2m1!1sAnschutz+Medical+Center+Campus,+Aurora,+CO!3m1!1s0x876c634d04985013:0xb540696e93466730"
3/21/2014,3,Global Casework Manufacturing Inc.,Sugarland,TX,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Global+Casework+Manufacturing+Inc/@29.639826,-95.606595,17z/data=!3m1!4b1!4m2!3m1!1s0x8640e7090d2257d9:0xb2cebe0f5ec9660f"
3/22/2014,10,The Seasons Performance Hall,Yakima,WA,1,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/The+Seasons+Performance+Hall/@46.605223,-120.500388,17z/data=!3m1!4b1!4m2!3m1!1s0x5499d793b77bef73:0xe8df3a27df0df67e"
3/23/2014,1,University of Delaware,Newark,DE,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/University+of+Delaware/@39.67795,-75.750611,17z/data=!3m1!4b1!4m2!3m1!1s0x89c7aa2e565be9a5:0xc02efe446358e371"
3/24/2014,12,US Naval Station,Norfolk,VA,2,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Naval+Station+Norfolk+(Sewell's+Point)/@36.943152,-76.31655,17z/data=!3m1!4b1!4m2!3m1!1s0x89ba9a33467abec7:0x117c8cce9ace4293"
3/30/2014,1,Savannah State University,Savannah,GA,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Savannah+State+University/@32.025148,-81.065004,17z/data=!3m1!4b1!4m2!3m1!1s0x88fb76119a4b37af:0x627de4db98812e16"
4/1/2014,12,Fort Hood Military Police Station,Fort Hood,TX,4,14,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Fort+Hood+Military+Police+Station/@31.195001,-97.741314,12z/data=!4m9!1m6!2m5!1sfort+hood+military+police+station!3m3!1sfort+hood+military+police+station!2sFort+Hood,+TX+76544!3s0x86454de561e26783:0xd8c52c9501a57973!3m1!1s0x86454cb0b323193f:0x18575c2efa523410"
4/3/2014,1,Kent State University,Kent,OH,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Kent+State+University/@41.149063,-81.341465,17z/data=!3m1!4b1!4m2!3m1!1s0x88313adaaeda6679:0xddd9f3901cbcc433"
